id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
6203,2020,山形県 鶴岡市,2,63721,9618,318
6204,2020,山形県 酒田市,2,52435,7590,424
6205,2020,山形県 新庄市,2,17986,2799,98
6206,2020,山形県 寒河江市,2,20660,3655,116
6207,2020,山形県 上山市,2,15201,2152,83
6208,2020,山形県 村山市,2,11579,1577,8
6209,2020,山形県 長井市,2,13590,2169,54
6210,2020,山形県 天童市,2,31918,6145,74
6211,2020,山形県 東根市,2,24157,4749,108
6212,2020,山形県 尾花沢市,2,7651,929,1
6213,2020,山形県 南陽市,2,15768,2618,16
6301,2020,山形県 東村山郡 山辺町,2,7122,1119,8
6302,2020,山形県 東村山郡 中山町,2,5495,850,NA
6321,2020,山形県 西村山郡 河北町,2,9113,1311,6
6322,2020,山形県 西村山郡 西川町,2,2569,293,1
6323,2020,山形県 西村山郡 朝日町,2,3216,374,NA
6324,2020,山形県 西村山郡 大江町,2,3849,512,NA
6341,2020,山形県 北村山郡 大石田町,2,3364,420,NA
6361,2020,山形県 最上郡 金山町,2,2605,362,NA
6362,2020,山形県 最上郡 最上町,2,4167,497,NA
6363,2020,山形県 最上郡 舟形町,2,2587,302,NA
6364,2020,山形県 最上郡 真室川町,2,3795,448,NA
6365,2020,山形県 最上郡 大蔵村,2,1530,194,NA
6366,2020,山形県 最上郡 鮭川村,2,2015,228,NA
6367,2020,山形県 最上郡 戸沢村,2,2212,293,NA
6381,2020,山形県 東置賜郡 高畠町,2,11513,1842,7
6382,2020,山形県 東置賜郡 川西町,2,7457,1055,3
6401,2020,山形県 西置賜郡 小国町,2,3534,403,4
6402,2020,山形県 西置賜郡 白鷹町,2,6533,872,1
6403,2020,山形県 西置賜郡 飯豊町,2,3399,490,1
6426,2020,山形県 東田川郡 三川町,2,3907,597,6
6428,2020,山形県 東田川郡 庄内町,2,10515,1461,21
6461,2020,山形県 飽海郡 遊佐町,2,6843,755,1
7201,2020,福島県 福島市,2,144503,25976,2912
7202,2020,福島県 会津若松市,2,61313,10406,1082
7203,2020,福島県 郡山市,2,165862,32771,3222
7204,2020,福島県 いわき市,2,169406,28611,3829
7205,2020,福島県 白河市,2,29810,5307,336
7207,2020,福島県 須賀川市,2,38211,6813,478
7208,2020,福島県 喜多方市,2,23322,3514,NA
7209,2020,福島県 相馬市,2,17329,2917,154
7210,2020,福島県 二本松市,2,27252,4472,113
7211,2020,福島県 田村市,2,17849,2692,62
7212,2020,福島県 南相馬市,2,27990,4058,334
7213,2020,福島県 伊達市,2,29927,4569,47
7214,2020,福島県 本宮市,2,15218,2887,5
7301,2020,福島県 伊達郡 桑折町,2,5968,862,7
7303,2020,福島県 伊達郡 国見町,2,4525,593,1
7308,2020,福島県 伊達郡 川俣町,2,6184,778,61
7322,2020,福島県 安達郡 大玉村,2,4473,918,13
7342,2020,福島県 岩瀬郡 鏡石町,2,6288,1210,6
7344,2020,福島県 岩瀬郡 天栄村,2,2627,414,NA
7362,2020,福島県 南会津郡 下郷町,2,2662,283,NA
7364,2020,福島県 南会津郡 檜枝岐村,2,245,37,NA
7367,2020,福島県 南会津郡 只見町,2,2068,195,NA
7368,2020,福島県 南会津郡 南会津町,2,7335,851,9
7402,2020,福島県 耶麻郡 北塩原村,2,1266,191,NA
7405,2020,福島県 耶麻郡 西会津町,2,2981,322,NA
7407,2020,福島県 耶麻郡 磐梯町,2,1718,243,NA
7408,2020,福島県 耶麻郡 猪苗代町,2,7019,936,19
7421,2020,福島県 河沼郡 会津坂下町,2,7823,1167,8
7422,2020,福島県 河沼郡 湯川村,2,1596,248,NA
7423,2020,福島県 河沼郡 柳津町,2,1580,154,NA
7444,2020,福島県 大沼郡 三島町,2,738,73,NA
7445,2020,福島県 大沼郡 金山町,2,954,73,1
7446,2020,福島県 大沼郡 昭和村,2,623,62,NA
7447,2020,福島県 大沼郡 会津美里町,2,9906,1325,65
7461,2020,福島県 西白河郡 西郷村,2,10172,2151,141
7464,2020,福島県 西白河郡 泉崎村,2,3152,550,NA
7465,2020,福島県 西白河郡 中島村,2,2487,415,NA
7466,2020,福島県 西白河郡 矢吹町,2,8638,1528,3
7481,2020,福島県 東白川郡 棚倉町,2,6762,1108,38
7482,2020,福島県 東白川郡 矢祭町,2,2772,375,NA
7483,2020,福島県 東白川郡 塙町,2,4223,601,9
7484,2020,福島県 東白川郡 鮫川村,2,1518,205,NA
7501,2020,福島県 石川郡 石川町,2,7310,1029,20
7502,2020,福島県 石川郡 玉川村,2,3190,552,2
7503,2020,福島県 石川郡 平田村,2,2943,415,NA
7504,2020,福島県 石川郡 浅川町,2,3005,436,14
7505,2020,福島県 石川郡 古殿町,2,2461,310,NA
7521,2020,福島県 田村郡 三春町,2,8570,1351,41
7522,2020,福島県 田村郡 小野町,2,4794,647,19
7541,2020,福島県 双葉郡 広野町,2,2101,291,17
7542,2020,福島県 双葉郡 楢葉町,2,1563,201,NA
7543,2020,福島県 双葉郡 富岡町,2,586,106,33
7544,2020,福島県 双葉郡 川内村,2,1009,120,36
7545,2020,福島県 双葉郡 大熊町,2,93,24,NA
7546,2020,福島県 双葉郡 双葉町,2,NA,NA,NA
7547,2020,福島県 双葉郡 浪江町,2,573,71,50
7548,2020,福島県 双葉郡 葛尾村,2,179,19,NA
7561,2020,福島県 相馬郡 新地町,2,3960,650,7
7564,2020,福島県 相馬郡 飯舘村,2,656,60,2
8201,2020,茨城県 水戸市,2,138148,27694,3186
8202,2020,茨城県 日立市,2,87382,13777,1513
8203,2020,茨城県 土浦市,2,71139,13600,1430
8204,2020,茨城県 古河市,2,69609,13323,680
8205,2020,茨城県 石岡市,2,36894,5973,671
8207,2020,茨城県 結城市,2,25204,4513,172
8208,2020,茨城県 龍ケ崎市,2,38425,6910,633
8210,2020,茨城県 下妻市,2,21109,3887,304
8211,2020,茨城県 常総市,2,30369,5495,200
8212,2020,茨城県 常陸太田市,2,24897,3499,29
8214,2020,茨城県 高萩市,2,13895,2132,153
8215,2020,茨城県 北茨城市,2,21041,3361,87
8216,2020,茨城県 笠間市,2,37390,6264,469
8217,2020,茨城県 取手市,2,53048,8956,421
8219,2020,茨城県 牛久市,2,42878,7826,438
8220,2020,茨城県 つくば市,2,120613,27818,9346
8221,2020,茨城県 ひたちなか市,2,77288,14617,1326
8222,2020,茨城県 鹿嶋市,2,32516,5614,510
8223,2020,茨城県 潮来市,2,13932,2367,104
8224,2020,茨城県 守谷市,2,34258,7371,210
8225,2020,茨城県 常陸大宮市,2,19875,2890,270
8226,2020,茨城県 那珂市,2,27455,4642,157
8227,2020,茨城県 筑西市,2,50735,8524,304
8228,2020,茨城県 坂東市,2,25672,4460,231
8229,2020,茨城県 稲敷市,2,19549,2825,86
8230,2020,茨城県 かすみがうら市,2,19746,3410,21
8231,2020,茨城県 桜川市,2,19763,3002,44
8232,2020,茨城県 神栖市,2,46047,9707,267
8233,2020,茨城県 行方市,2,16214,2571,1
8234,2020,茨城県 鉾田市,2,22577,3942,327
8235,2020,茨城県 つくばみらい市,2,24977,4873,995
8236,2020,茨城県 小美玉市,2,24279,4389,204
