id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
1517,1980,北海道 宗谷総合振興局 礼文町,2974,822,NA
1518,1980,北海道 宗谷総合振興局 利尻町,2981,805,NA
1519,1980,北海道 宗谷総合振興局 利尻富士町,3071,735,NA
1520,1980,北海道 宗谷総合振興局 幌延町,2055,650,NA
1543,1980,北海道 オホーツク総合振興局 美幌町,13107,4018,NA
1544,1980,北海道 オホーツク総合振興局 津別町,4945,1272,NA
1545,1980,北海道 オホーツク総合振興局 斜里町,8010,2443,NA
1546,1980,北海道 オホーツク総合振興局 清里町,3456,870,NA
1547,1980,北海道 オホーツク総合振興局 小清水町,4023,1051,NA
1549,1980,北海道 オホーツク総合振興局 訓子府町,3928,1115,NA
1550,1980,北海道 オホーツク総合振興局 置戸町,3252,813,NA
1552,1980,北海道 オホーツク総合振興局 佐呂間町,4455,1136,NA
1555,1980,北海道 オホーツク総合振興局 遠軽町,15392,4331,NA
1559,1980,北海道 オホーツク総合振興局 湧別町,7415,1880,NA
1560,1980,北海道 オホーツク総合振興局 滝上町,2905,654,NA
1561,1980,北海道 オホーツク総合振興局 興部町,3382,947,NA
1562,1980,北海道 オホーツク総合振興局 西興部村,801,182,NA
1563,1980,北海道 オホーツク総合振興局 雄武町,3603,975,NA
1564,1980,北海道 オホーツク総合振興局 大空町,4801,1330,NA
1571,1980,北海道 胆振総合振興局 豊浦町,3356,830,NA
1575,1980,北海道 胆振総合振興局 壮瞥町,2175,595,NA
1578,1980,北海道 胆振総合振興局 白老町,12097,3666,1
1581,1980,北海道 胆振総合振興局 厚真町,3414,809,NA
1584,1980,北海道 胆振総合振興局 洞爺湖町,7682,2184,NA
1585,1980,北海道 胆振総合振興局 安平町,5577,1550,NA
1586,1980,北海道 胆振総合振興局 むかわ町,7284,1993,NA
1601,1980,北海道 日高振興局 日高町,9466,2684,NA
1602,1980,北海道 日高振興局 平取町,4291,1095,NA
1604,1980,北海道 日高振興局 新冠町,3761,1014,NA
1607,1980,北海道 日高振興局 浦河町,9870,2819,NA
1608,1980,北海道 日高振興局 様似町,4097,1078,NA
1609,1980,北海道 日高振興局 えりも町,3774,1070,NA
1610,1980,北海道 日高振興局 新ひだか町,16526,4824,NA
1631,1980,北海道 十勝総合振興局 音更町,15974,5055,NA
1632,1980,北海道 十勝総合振興局 士幌町,3494,973,NA
1633,1980,北海道 十勝総合振興局 上士幌町,3841,1057,NA
1634,1980,北海道 十勝総合振興局 鹿追町,3299,976,NA
1635,1980,北海道 十勝総合振興局 新得町,4679,1227,NA
1636,1980,北海道 十勝総合振興局 清水町,6709,1870,NA
1637,1980,北海道 十勝総合振興局 芽室町,8366,2470,NA
1638,1980,北海道 十勝総合振興局 中札内村,1870,522,NA
1639,1980,北海道 十勝総合振興局 更別村,1840,474,NA
1641,1980,北海道 十勝総合振興局 大樹町,4223,1219,NA
1642,1980,北海道 十勝総合振興局 広尾町,5772,1699,NA
1643,1980,北海道 十勝総合振興局 幕別町,11361,3492,NA
1644,1980,北海道 十勝総合振興局 池田町,6042,1653,NA
1645,1980,北海道 十勝総合振興局 豊頃町,2876,708,NA
1646,1980,北海道 十勝総合振興局 本別町,6716,1854,NA
1647,1980,北海道 十勝総合振興局 足寄町,6374,1714,NA
1648,1980,北海道 十勝総合振興局 陸別町,2501,650,NA
1649,1980,北海道 十勝総合振興局 浦幌町,4884,1291,NA
1661,1980,北海道 釧路総合振興局 釧路町,6171,2176,NA
1662,1980,北海道 釧路総合振興局 厚岸町,8037,2310,NA
1663,1980,北海道 釧路総合振興局 浜中町,4664,1301,NA
1664,1980,北海道 釧路総合振興局 標茶町,6153,1749,NA
1665,1980,北海道 釧路総合振興局 弟子屈町,6248,1847,NA
1667,1980,北海道 釧路総合振興局 鶴居村,1304,374,NA
1668,1980,北海道 釧路総合振興局 白糠町,7373,2055,NA
1691,1980,北海道 根室振興局 別海町,9235,2842,NA
1692,1980,北海道 根室振興局 中標津町,10553,3750,NA
1693,1980,北海道 根室振興局 標津町,3701,1091,NA
1694,1980,北海道 根室振興局 羅臼町,3819,1166,NA
2201,1980,青森県 青森市,161820,51912,NA
2202,1980,青森県 弘前市,100989,30572,NA
2203,1980,青森県 八戸市,125313,40542,NA
2204,1980,青森県 黒石市,21438,6029,NA
2205,1980,青森県 五所川原市,36002,10350,NA
2206,1980,青森県 十和田市,34454,10717,NA
2207,1980,青森県 三沢市,19943,6338,NA
2208,1980,青森県 むつ市,36689,10829,NA
2209,1980,青森県 つがる市,24204,6417,NA
2210,1980,青森県 平川市,20284,5461,NA
2301,1980,青森県 東津軽郡 平内町,8950,2440,NA
2303,1980,青森県 東津軽郡 今別町,3605,872,NA
2304,1980,青森県 東津軽郡 蓬田村,2282,549,NA
2307,1980,青森県 東津軽郡 外ヶ浜町,7391,1889,NA
2321,1980,青森県 西津軽郡 鰺ヶ沢町,9101,2212,NA
2323,1980,青森県 西津軽郡 深浦町,8079,1959,NA
2343,1980,青森県 中津軽郡 西目屋村,1450,333,NA
2361,1980,青森県 南津軽郡 藤崎町,9145,2461,NA
2362,1980,青森県 南津軽郡 大鰐町,8522,2182,NA
2367,1980,青森県 南津軽郡 田舎館村,5275,1423,NA
2381,1980,青森県 北津軽郡 板柳町,9945,2642,NA
2384,1980,青森県 北津軽郡 鶴田町,8785,2269,NA
2387,1980,青森県 北津軽郡 中泊町,10063,2704,NA
2401,1980,青森県 上北郡 野辺地町,9555,2783,NA
2402,1980,青森県 上北郡 七戸町,11838,3157,NA
2405,1980,青森県 上北郡 六戸町,5394,1442,NA
2406,1980,青森県 上北郡 横浜町,3402,828,NA
2408,1980,青森県 上北郡 東北町,11695,3169,NA
2411,1980,青森県 上北郡 六ヶ所村,5641,1448,NA
2412,1980,青森県 上北郡 おいらせ町,9104,2677,NA
2423,1980,青森県 下北郡 大間町,3752,979,NA
2424,1980,青森県 下北郡 東通村,4951,1202,NA
2425,1980,青森県 下北郡 風間浦村,1962,455,NA
2426,1980,青森県 下北郡 佐井村,2161,469,NA
2441,1980,青森県 三戸郡 三戸町,8265,2116,NA
2442,1980,青森県 三戸郡 五戸町,12319,3176,NA
2443,1980,青森県 三戸郡 田子町,4726,1138,NA
2445,1980,青森県 三戸郡 南部町,12597,3110,NA
2446,1980,青森県 三戸郡 階上町,5071,1287,NA
2450,1980,青森県 三戸郡 新郷村,2301,524,NA
3201,1980,岩手県 盛岡市,140376,47647,NA
3202,1980,岩手県 宮古市,40620,10878,NA
3203,1980,岩手県 大船渡市,25653,6891,NA
3205,1980,岩手県 花巻市,55053,14594,NA
3206,1980,岩手県 北上市,39516,11162,NA
3207,1980,岩手県 久慈市,22442,5933,NA
3208,1980,岩手県 遠野市,19305,4479,NA
3209,1980,岩手県 一関市,76015,18064,NA
3210,1980,岩手県 陸前高田市,15569,3821,NA
3211,1980,岩手県 釜石市,33537,9040,1
3213,1980,岩手県 二戸市,19364,4960,NA
3214,1980,岩手県 八幡平市,17686,4431,NA
3215,1980,岩手県 奥州市,67866,17322,NA
3216,1980,岩手県 滝沢市,12369,4366,NA
3301,1980,岩手県 岩手郡 雫石町,9646,2661,NA
3302,1980,岩手県 岩手郡 葛巻町,6228,1374,NA
3303,1980,岩手県 岩手郡 岩手町,10431,2575,NA
3321,1980,岩手県 紫波郡 紫波町,14380,3877,NA
3322,1980,岩手県 紫波郡 矢巾町,8937,2783,NA
3366,1980,岩手県 和賀郡 西和賀町,5224,1051,NA
3381,1980,岩手県 胆沢郡 金ケ崎町,7732,1933,NA
3402,1980,岩手県 西磐井郡 平泉町,4823,1189,NA
3441,1980,岩手県 気仙郡 住田町,4692,948,NA
3461,1980,岩手県 上閉伊郡 大槌町,10956,2901,NA
3482,1980,岩手県 下閉伊郡 山田町,12893,3321,NA
3483,1980,岩手県 下閉伊郡 岩泉町,9500,2000,NA
3484,1980,岩手県 下閉伊郡 田野畑村,2644,621,NA
3485,1980,岩手県 下閉伊郡 普代村,1993,517,NA
3501,1980,岩手県 九戸郡 軽米町,7139,1623,NA
