id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1487,北海道 留萌振興局 天塩町,0,6281,1728,NA,2950,461,8,-53.03295653558351,-73.32175925925925
1511,北海道 宗谷総合振興局 猿払村,0,3358,932,NA,2611,649,8,-22.245384157236447,-30.364806866952787
1512,北海道 宗谷総合振興局 浜頓別町,0,6503,2005,NA,3448,578,12,-46.978317699523295,-71.1720698254364
1513,北海道 宗谷総合振興局 中頓別町,0,4203,1087,NA,1637,232,NA,-61.0516297882465,-78.65685372585097
1514,北海道 宗谷総合振興局 枝幸町,0,13633,3793,NA,7565,1255,1,-44.509645712609114,-66.91273398365409
1516,北海道 宗谷総合振興局 豊富町,0,6723,1937,6,3974,712,115,-40.88948386137141,-63.242127000516255
1517,北海道 宗谷総合振興局 礼文町,0,5990,1615,NA,2509,436,NA,-58.11352253756261,-73.0030959752322
1518,北海道 宗谷総合振興局 利尻町,0,5828,1465,NA,2004,327,NA,-65.61427590940288,-77.67918088737201
1519,北海道 宗谷総合振興局 利尻富士町,0,6028,1440,NA,2458,358,NA,-59.22362309223623,-75.13888888888889
1520,北海道 宗谷総合振興局 幌延町,0,4253,1338,NA,2371,479,NA,-44.251116858687986,-64.20029895366218
1543,北海道 オホーツク総合振興局 美幌町,0,26534,8179,NA,18697,3136,13,-29.535690058038742,-61.65790438928964
1544,北海道 オホーツク総合振興局 津別町,0,9685,2347,NA,4373,554,90,-54.84770263293753,-76.3953983809118
1545,北海道 オホーツク総合振興局 斜里町,0,15795,4709,NA,11418,2157,21,-27.711301044634375,-54.194096411127624
1546,北海道 オホーツク総合振興局 清里町,0,6774,1688,NA,3883,546,78,-42.677886034839084,-67.65402843601895
1547,北海道 オホーツク総合振興局 小清水町,0,7836,2050,NA,4623,717,6,-41.003062787136294,-65.02439024390245
1549,北海道 オホーツク総合振興局 訓子府町,0,7773,2193,NA,4677,634,4,-39.83018139714396,-71.08983128134975
1550,北海道 オホーツク総合振興局 置戸町,0,6430,1529,NA,2775,374,NA,-56.842923794712284,-75.53956834532374
1552,北海道 オホーツク総合振興局 佐呂間町,0,8666,2161,NA,4875,822,1,-43.74567274405724,-61.96205460434984
1555,北海道 オホーツク総合振興局 遠軽町,0,30428,8407,NA,19241,2994,529,-36.765479163927964,-64.38682050672058
1559,北海道 オホーツク総合振興局 湧別町,0,14326,3575,NA,8270,1288,NA,-42.27279073014101,-63.972027972027966
1560,北海道 オホーツク総合振興局 滝上町,0,5673,1223,NA,2421,360,NA,-57.32416710735061,-70.5641864268193
1561,北海道 オホーツク総合振興局 興部町,0,6628,1816,NA,3628,675,NA,-45.26252263126131,-62.83039647577093
1562,北海道 オホーツク総合振興局 西興部村,0,1609,342,NA,1053,216,NA,-34.55562461155998,-36.8421052631579
1563,北海道 オホーツク総合振興局 雄武町,0,7041,1900,NA,4199,829,NA,-40.363584718079814,-56.368421052631575
