id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1518,北海道 宗谷総合振興局 利尻町,1,2847,660,NA,994,188,NA,-65.0860554970144,-71.51515151515152
1519,北海道 宗谷総合振興局 利尻富士町,1,2957,705,NA,1188,190,NA,-59.82414609401421,-73.04964539007092
1520,北海道 宗谷総合振興局 幌延町,1,2198,688,NA,1290,290,NA,-41.31028207461328,-57.84883720930232
1543,北海道 オホーツク総合振興局 美幌町,1,13427,4161,NA,9063,1711,12,-32.501675728010724,-58.880076904590254
1544,北海道 オホーツク総合振興局 津別町,1,4740,1075,NA,2096,328,45,-55.780590717299575,-69.48837209302326
1545,北海道 オホーツク総合振興局 斜里町,1,7785,2266,NA,5672,1178,19,-27.141939627488764,-48.014121800529566
1546,北海道 オホーツク総合振興局 清里町,1,3318,818,NA,1882,297,35,-43.279083785412894,-63.691931540342296
1547,北海道 オホーツク総合振興局 小清水町,1,3813,999,NA,2207,390,4,-42.11906635195384,-60.96096096096096
1549,北海道 オホーツク総合振興局 訓子府町,1,3845,1078,NA,2241,351,4,-41.71651495448635,-67.43970315398886
1550,北海道 オホーツク総合振興局 置戸町,1,3178,716,NA,1281,202,NA,-59.691629955947135,-71.78770949720669
1552,北海道 オホーツク総合振興局 佐呂間町,1,4211,1025,NA,2296,393,1,-45.476133934932314,-61.65853658536585
1555,北海道 オホーツク総合振興局 遠軽町,1,15036,4076,NA,9337,1656,304,-37.902367650971,-59.37193326790972
1559,北海道 オホーツク総合振興局 湧別町,1,6911,1695,NA,3947,676,NA,-42.888149327159596,-60.11799410029499
1560,北海道 オホーツク総合振興局 滝上町,1,2768,569,NA,1177,199,NA,-57.47832369942196,-65.02636203866432
1561,北海道 オホーツク総合振興局 興部町,1,3246,869,NA,1768,350,NA,-45.53296364756624,-59.72382048331415
1562,北海道 オホーツク総合振興局 西興部村,1,808,160,NA,520,124,NA,-35.64356435643564,-22.499999999999996
1563,北海道 オホーツク総合振興局 雄武町,1,3438,925,NA,1999,408,NA,-41.85573007562537,-55.8918918918919
1564,北海道 オホーツク総合振興局 大空町,1,4764,1253,NA,3287,522,NA,-31.003358522250213,-58.33998403830807
1571,北海道 胆振総合振興局 豊浦町,1,3068,690,NA,1781,277,4,-41.94915254237288,-59.85507246376811
1575,北海道 胆振総合振興局 壮瞥町,1,2117,503,NA,1285,174,29,-39.30089749645725,-65.4075546719682
1578,北海道 胆振総合振興局 白老町,1,12071,3537,2,7706,1045,29,-36.16104713776821,-70.45518801243993
1581,北海道 胆振総合振興局 厚真町,1,3403,843,1,2249,432,12,-33.91125477519835,-48.754448398576514
1584,北海道 胆振総合振興局 洞爺湖町,1,6719,1787,NA,3909,589,19,-41.82169965768716,-67.03973139339676
1585,北海道 胆振総合振興局 安平町,1,5681,1590,NA,3632,677,1,-36.067593733497624,-57.42138364779874
1586,北海道 胆振総合振興局 むかわ町,1,7307,1966,NA,3779,673,31,-48.282468865471465,-65.76805696846388
1601,北海道 日高振興局 日高町,1,9409,2687,NA,5712,1108,NA,-39.29216707407801,-58.76442128768142
1602,北海道 日高振興局 平取町,1,4203,1004,NA,2395,414,4,-43.016892695693556,-58.76494023904382
1604,北海道 日高振興局 新冠町,1,3873,1095,NA,2603,513,8,-32.79111799638523,-53.15068493150685
1607,北海道 日高振興局 浦河町,1,9538,2662,NA,5975,1249,NA,-37.35583979869994,-53.08039068369648
1608,北海道 日高振興局 様似町,1,3889,1021,NA,1923,283,NA,-50.55284134739008,-72.2820763956905
1609,北海道 日高振興局 えりも町,1,3746,1129,NA,2230,462,1,-40.4698344901228,-59.07883082373782
1610,北海道 日高振興局 新ひだか町,1,16664,4847,NA,10473,1987,59,-37.15194431108978,-59.00557045595214
1631,北海道 十勝総合振興局 音更町,1,15160,4622,NA,20630,3740,100,36.08179419525066,-19.08264820424059
1632,北海道 十勝総合振興局 士幌町,1,3485,942,NA,2891,619,7,-17.044476327116207,-34.28874734607219
1633,北海道 十勝総合振興局 上士幌町,1,3730,948,NA,2343,526,NA,-37.184986595174266,-44.51476793248945
1634,北海道 十勝総合振興局 鹿追町,1,3445,1038,NA,2572,553,4,-25.341074020319297,-46.724470134874764
1635,北海道 十勝総合振興局 新得町,1,4823,1289,NA,2900,540,NA,-39.871449305411566,-58.10705973622963
1636,北海道 十勝総合振興局 清水町,1,6643,1746,NA,4478,812,161,-32.59069697425861,-53.493699885452465
1637,北海道 十勝総合振興局 芽室町,1,8214,2272,NA,8612,1445,30,4.845385926467016,-36.39964788732394
1638,北海道 十勝総合振興局 中札内村,1,1915,514,NA,1880,364,NA,-1.8276762402088753,-29.182879377431902
1639,北海道 十勝総合振興局 更別村,1,1784,431,NA,1519,301,NA,-14.8542600896861,-30.162412993039446
1641,北海道 十勝総合振興局 大樹町,1,4133,1093,NA,2714,628,NA,-34.33341398499879,-42.54345837145471
1642,北海道 十勝総合振興局 広尾町,1,5740,1640,NA,3096,535,12,-46.062717770034844,-67.3780487804878
1643,北海道 十勝総合振興局 幕別町,1,11029,3161,NA,12243,1969,26,11.007344274186238,-37.70958557418539
1644,北海道 十勝総合振興局 池田町,1,5860,1514,NA,2967,460,2,-49.36860068259386,-69.61690885072656
1645,北海道 十勝総合振興局 豊頃町,1,2903,707,NA,1478,266,NA,-49.08715122287289,-62.37623762376238
