id_muni2020,name_muni2020,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_age20_39
1635,北海道 十勝総合振興局 新得町,4679,1227,NA,2917,449,NA,-63.40668296658516
1636,北海道 十勝総合振興局 清水町,6709,1870,NA,4616,673,107,-64.01069518716578
1637,北海道 十勝総合振興局 芽室町,8366,2470,NA,9436,1485,11,-39.87854251012146
1638,北海道 十勝総合振興局 中札内村,1870,522,NA,2004,361,NA,-30.84291187739464
1639,北海道 十勝総合振興局 更別村,1840,474,NA,1561,255,NA,-46.20253164556962
1641,北海道 十勝総合振興局 大樹町,4223,1219,NA,2706,471,NA,-61.36177194421657
1642,北海道 十勝総合振興局 広尾町,5772,1699,NA,3291,412,2,-75.7504414361389
1643,北海道 十勝総合振興局 幕別町,11361,3492,NA,13523,2064,14,-40.893470790378004
1644,北海道 十勝総合振興局 池田町,6042,1653,NA,3327,410,NA,-75.19661222020568
1645,北海道 十勝総合振興局 豊頃町,2876,708,NA,1544,230,NA,-67.514124293785315
1646,北海道 十勝総合振興局 本別町,6716,1854,NA,3390,383,1,-79.34196332254585
1647,北海道 十勝総合振興局 足寄町,6374,1714,NA,3348,451,1,-73.68728121353558
1648,北海道 十勝総合振興局 陸別町,2501,650,NA,1126,175,NA,-73.07692307692308
1649,北海道 十勝総合振興局 浦幌町,4884,1291,NA,2249,283,NA,-78.07900852052673
1661,北海道 釧路総合振興局 釧路町,6171,2176,NA,10004,1826,52,-16.084558823529417
1662,北海道 釧路総合振興局 厚岸町,8037,2310,NA,4719,791,NA,-65.75757575757576
1663,北海道 釧路総合振興局 浜中町,4664,1301,NA,2781,494,1,-62.029208301306696
1664,北海道 釧路総合振興局 標茶町,6153,1749,NA,3759,583,NA,-66.66666666666667
1665,北海道 釧路総合振興局 弟子屈町,6248,1847,NA,3641,445,52,-75.90687601515972
1667,北海道 釧路総合振興局 鶴居村,1304,374,NA,1304,191,4,-48.93048128342245
1668,北海道 釧路総合振興局 白糠町,7373,2055,NA,3875,518,NA,-74.79318734793188
1691,北海道 根室振興局 別海町,9235,2842,NA,7094,1261,217,-55.62983814215341
1692,北海道 根室振興局 中標津町,10553,3750,NA,11671,2162,20,-42.346666666666664
1693,北海道 根室振興局 標津町,3701,1091,NA,2558,409,3,-62.511457378551796
1694,北海道 根室振興局 羅臼町,3819,1166,NA,2376,370,NA,-68.26758147512865
2201,青森県 青森市,161820,51912,NA,147143,22954,5542,-55.78286330713516
2202,青森県 弘前市,100989,30572,NA,91215,15716,1044,-48.593484233939556
2203,青森県 八戸市,125313,40542,NA,116597,19510,647,-51.87706575896601
2204,青森県 黒石市,21438,6029,NA,17157,2690,34,-55.38231879250291
2205,青森県 五所川原市,36002,10350,NA,28163,3925,152,-62.07729468599034
2206,青森県 十和田市,34454,10717,NA,31693,5073,344,-52.663991788746856
2207,青森県 三沢市,19943,6338,NA,19550,3768,204,-40.54906910697381
2208,青森県 むつ市,36689,10829,NA,27999,4120,421,-61.95401237418044
2209,青森県 つがる市,24204,6417,NA,16571,2199,13,-65.73165030388031
2210,青森県 平川市,20284,5461,NA,16379,2539,3,-53.50668375755356
2301,青森県 東津軽郡 平内町,8950,2440,NA,5308,643,2,-73.64754098360655
2303,青森県 東津軽郡 今別町,3605,872,NA,1215,93,NA,-89.3348623853211
2304,青森県 東津軽郡 蓬田村,2282,549,NA,1329,152,NA,-72.31329690346084
2307,青森県 東津軽郡 外ヶ浜町,7391,1889,NA,2874,240,NA,-87.2948650079407
2321,青森県 西津軽郡 鰺ヶ沢町,9101,2212,NA,4899,517,4,-76.62748643761303
2323,青森県 西津軽郡 深浦町,8079,1959,NA,3949,347,NA,-82.28688106176621
2343,青森県 中津軽郡 西目屋村,1450,333,NA,676,93,NA,-72.07207207207207
2361,青森県 南津軽郡 藤崎町,9145,2461,NA,7825,1304,3,-47.01340918325884
2362,青森県 南津軽郡 大鰐町,8522,2182,NA,4731,533,1,-75.57286892758937
2367,青森県 南津軽郡 田舎館村,5275,1423,NA,3901,547,1,-61.560084328882645
2381,青森県 北津軽郡 板柳町,9945,2642,NA,6894,930,NA,-64.7993943981832
2384,青森県 北津軽郡 鶴田町,8785,2269,NA,6521,866,NA,-61.8334067871309
2387,青森県 北津軽郡 中泊町,10063,2704,NA,5225,561,NA,-79.25295857988166
2401,青森県 上北郡 野辺地町,9555,2783,NA,6598,923,2,-66.83435141933165
2402,青森県 上北郡 七戸町,11838,3157,NA,7592,928,2,-70.60500475134621
2405,青森県 上北郡 六戸町,5394,1442,NA,5363,830,NA,-42.441054091539534
2406,青森県 上北郡 横浜町,3402,828,NA,2158,300,NA,-63.76811594202898
2408,青森県 上北郡 東北町,11695,3169,NA,8582,1156,3,-63.52161565162512
2411,青森県 上北郡 六ヶ所村,5641,1448,NA,4457,837,70,-42.19613259668509
2412,青森県 上北郡 おいらせ町,9104,2677,NA,12646,2202,164,-17.74374299589092
2423,青森県 下北郡 大間町,3752,979,NA,2343,313,7,-68.02860061287028
2424,青森県 下北郡 東通村,4951,1202,NA,2793,387,NA,-67.8036605657238
2425,青森県 下北郡 風間浦村,1962,455,NA,857,86,NA,-81.0989010989011
2426,青森県 下北郡 佐井村,2161,469,NA,905,88,NA,-81.2366737739872
2441,青森県 三戸郡 三戸町,8265,2116,NA,4794,545,24,-74.2438563327032
2442,青森県 三戸郡 五戸町,12319,3176,NA,8366,1093,NA,-65.58564231738035
2443,青森県 三戸郡 田子町,4726,1138,NA,2592,269,1,-76.36203866432338
2445,青森県 三戸郡 南部町,12597,3110,NA,8925,1105,1,-64.46945337620579
2446,青森県 三戸郡 階上町,5071,1287,NA,6669,1018,87,-20.901320901320897
2450,青森県 三戸郡 新郷村,2301,524,NA,1128,106,NA,-79.7709923664122
3201,岩手県 盛岡市,140376,47647,NA,152812,28829,3486,-39.49461666002057
3202,岩手県 宮古市,40620,10878,NA,25988,3661,89,-66.34491634491636
3203,岩手県 大船渡市,25653,6891,NA,18049,2476,96,-64.06907560586272
3205,岩手県 花巻市,55053,14594,NA,48770,7553,271,-48.24585446073729
3206,岩手県 北上市,39516,11162,NA,46193,8588,477,-23.06038344382727
3207,岩手県 久慈市,22442,5933,NA,17160,2730,225,-53.98617899882016
3208,岩手県 遠野市,19305,4479,NA,13144,1741,8,-61.12971645456575
3209,岩手県 一関市,76015,18064,NA,57678,8122,248,-55.037643932683785
3210,岩手県 陸前高田市,15569,3821,NA,9431,1192,10,-68.80397801622613
3211,岩手県 釜石市,33537,9040,1,16709,2292,60,-74.64601769911503
3213,岩手県 二戸市,19364,4960,NA,13520,1904,55,-61.61290322580646
3214,岩手県 八幡平市,17686,4431,NA,12514,1650,14,-62.76235612728504
3215,岩手県 奥州市,67866,17322,NA,58097,8770,236,-49.37074240849786
3216,岩手県 滝沢市,12369,4366,NA,28433,5682,150,30.142006413192846
3301,岩手県 岩手郡 雫石町,9646,2661,NA,8226,1113,2,-58.173618940248026
3302,岩手県 岩手郡 葛巻町,6228,1374,NA,2903,265,NA,-80.71324599708879
3303,岩手県 岩手郡 岩手町,10431,2575,NA,6315,796,3,-69.08737864077669
3321,岩手県 紫波郡 紫波町,14380,3877,NA,16757,2775,12,-28.424039205571315
3322,岩手県 紫波郡 矢巾町,8937,2783,NA,14719,3136,129,12.684153790873154
3366,岩手県 和賀郡 西和賀町,5224,1051,NA,2754,242,NA,-76.97431018078021
3381,岩手県 胆沢郡 金ケ崎町,7732,1933,NA,7505,1226,41,-36.575271598551474
3402,岩手県 西磐井郡 平泉町,4823,1189,NA,3752,487,NA,-59.04121110176619
3441,岩手県 気仙郡 住田町,4692,948,NA,2575,320,NA,-66.24472573839662
3461,岩手県 上閉伊郡 大槌町,10956,2901,NA,5770,830,19,-71.3891761461565
3482,岩手県 下閉伊郡 山田町,12893,3321,NA,7422,1016,NA,-69.4068051791629
3483,岩手県 下閉伊郡 岩泉町,9500,2000,NA,4399,484,1,-75.8
3484,岩手県 下閉伊郡 田野畑村,2644,621,NA,1532,168,NA,-72.94685990338165
3485,岩手県 下閉伊郡 普代村,1993,517,NA,1243,140,NA,-72.92069632495163
3501,岩手県 九戸郡 軽米町,7139,1623,NA,4331,543,1,-66.54343807763401
3503,岩手県 九戸郡 野田村,2897,716,NA,2073,279,NA,-61.03351955307262
3506,岩手県 九戸郡 九戸村,4398,1051,NA,2822,289,NA,-72.5023786869648
3507,岩手県 九戸郡 洋野町,12730,3231,NA,7990,939,NA,-70.93779015784587
3524,岩手県 二戸郡 一戸町,10853,2460,NA,5996,723,6,-70.60975609756098
4100,宮城県 仙台市,398394,142135,NA,565087,130088,17442,-8.475744890421078
4202,宮城県 石巻市,95604,27232,NA,71813,12058,790,-55.72121034077555
4203,宮城県 塩竈市,31552,9443,1,27326,4705,111,-50.174732606163296
4205,宮城県 気仙沼市,47280,13267,NA,31242,4028,156,-69.63895379513077
4206,宮城県 白石市,21325,5668,NA,16782,2552,119,-54.97529992942837
4207,宮城県 名取市,25028,7892,NA,40151,8567,459,8.552965027876326
4208,宮城県 角田市,17185,4499,NA,14179,2159,41,-52.01155812402756
4209,宮城県 多賀城市,24431,8798,NA,31468,6790,517,-22.823368947488063
4211,宮城県 岩沼市,17553,5626,NA,22384,4558,119,-18.983291859225027
4212,宮城県 登米市,50708,12231,NA,38874,5877,160,-51.94996320824136
4213,宮城県 栗原市,49695,11511,NA,33503,4504,111,-60.87220919120841
4214,宮城県 東松島市,18576,5488,NA,20009,3778,NA,-31.15889212827988
4215,宮城県 大崎市,67203,18426,NA,64901,11692,308,-36.54618473895582
4216,宮城県 富谷市,7015,2448,NA,26560,5051,99,106.33169934640523
4301,宮城県 刈田郡 蔵王町,7052,1739,NA,5849,877,8,-49.56871765382404
4302,宮城県 刈田郡 七ヶ宿町,1516,262,NA,642,76,NA,-70.99236641221374
4321,宮城県 柴田郡 大河原町,9845,3021,NA,12041,2374,83,-21.416749420721615
4322,宮城県 柴田郡 村田町,6771,1774,NA,5373,847,32,-52.254791431792555
4323,宮城県 柴田郡 柴田町,16037,4992,NA,18929,3656,224,-26.762820512820518
4324,宮城県 柴田郡 川崎町,5372,1331,NA,4245,695,7,-47.78362133734034
4341,宮城県 伊具郡 丸森町,10519,2304,NA,6145,769,7,-66.62326388888889
4361,宮城県 亘理郡 亘理町,14297,4120,NA,16875,2965,54,-28.033980582524276
4362,宮城県 亘理郡 山元町,8925,2511,NA,6068,857,6,-65.87017124651533
4401,宮城県 宮城郡 松島町,8820,2556,NA,6909,991,NA,-61.22848200312989
4404,宮城県 宮城郡 七ヶ浜町,8146,2558,NA,9108,1490,13,-41.75136825645035
4406,宮城県 宮城郡 利府町,5705,1719,NA,18020,3554,104,106.7481093659104
4421,宮城県 黒川郡 大和町,9138,2546,NA,13807,3161,196,24.15553809897879
4422,宮城県 黒川郡 大郷町,5115,1367,NA,3999,646,3,-52.74323335771762
4424,宮城県 黒川郡 大衡村,2625,691,NA,2911,554,NA,-19.826338639652676
4444,宮城県 加美郡 色麻町,4456,1113,NA,3452,553,4,-50.314465408805034
4445,宮城県 加美郡 加美町,15780,3981,NA,11176,1653,4,-58.477769404672195
4501,宮城県 遠田郡 涌谷町,10887,2965,NA,7868,1156,12,-61.01180438448567
